"lake","nsp","q","M","M.prime","qHt","qEt","qDT","qDTM"
"47aaron",7,1,0.340959685444257,0.397786299684967,8.87349509583137,0.502930341373894,3.52051238961726,2.20035279696651
"annika",9,1,0.122064555230153,0.137322624633922,10.7173548699509,0.423522188334806,3.81169969501325,1.4652734279427
"arrowhead",6,1,0.303504102835397,0.364204923402476,7.14774268665939,0.536646527942982,3.21987916765789,1.97724653801839
"west_bear",7,1,0.581038918483594,0.677878738230859,29.5825773109234,0.85170295162197,5.96192066135379,4.464107933158
"big_sandy",9,1,0.42727838004494,0.480688177550558,20.2637116140933,0.558800723380765,5.02920651042689,3.14887121068667
"big_stough",7,1,0.0915130600188279,0.106765236688633,9.10271442609548,0.508317256314711,3.55822079420298,1.32562367310014
"black_joe",5,1,0.254558504013535,0.318198130016919,6.46822156306283,0.618390646638723,3.09195323319361,1.78708298952158
"blackrock",6,1,0.401005860911143,0.481207033093372,14.6580972945748,0.726850088156539,4.36110052893923,2.74882687212732
"blue",8,1,0.202809211975987,0.231781956543985,17.6233129215999,0.590960513567474,4.7276841085398,1.95881788852435
"bluebell",5,1,0.424201501871565,0.530251877339456,15.255414581173,0.887538305891797,4.43769152945899,2.88247541163922
"boot",7,1,0.408383099797303,0.47644694976352,12.4395857592505,0.580320640480436,4.06224448336305,2.6589519942503
"boulder",5,1,0.311727667184956,0.389659583981194,5.58726966602764,0.583208843711604,2.91604421855802,1.90901166165927
"btwn_wrbnt_bldr",10,1,0.512945055946681,0.569938951051868,10.5304523178557,0.378335991293304,3.78335991293304,2.94065576220587
"casey",6,1,0.595081312938289,0.714097575525947,22.059106022769,0.870541939435529,5.22325163661317,4.10825944172284
"clear",8,1,0.215266264969826,0.246018588536944,9.69049919126512,0.456606965002545,3.65285572002036,1.78633660732245
"cliff",7,1,0.399641861269632,0.466248838147904,9.64068464482994,0.520706555573517,3.64494588901462,2.4566729593129
"crater",6,1,0.157371055749986,0.188845266899983,9.09638590172929,0.592864324150959,3.55718594490575,1.55979810764883
"cutthroat_newfork",8,1,0.273050238817392,0.312057415791305,5.18395745609356,0.353885629795743,2.83108503836594,1.77302844583817
"darren",5,1,0.0760527625558574,0.0950659531948218,6.76400929749517,0.629679499225529,3.14839749612764,1.23944432720445
"deep",7,1,0.396339531295202,0.462396119844403,12.7498763884327,0.586504876226154,4.10553413358308,2.62718547422077
"dipper",7,1,0.27841274553077,0.324814869785899,18.1170246023734,0.683668097090816,4.78567667963571,2.33239338359996
"dome",9,1,0.425553412470437,0.478747589029242,36.1599321865204,0.726007146377782,6.53406431740004,3.7805933675709
"east_bear",6,1,0.492475362602931,0.590970435123517,6.82665880576662,0.526699836032556,3.16019901619533,2.55632015639822
"east_noname",7,1,0.242651985365879,0.283093982926859,7.95809379873009,0.480711014664817,3.36497710265372,1.81651837466965
"elephant_head",7,1,0.40472380616946,0.47217777386437,9.90702911076947,0.526715632943667,3.68700943060567,2.49222049013742
"elk",10,1,0.13638352274634,0.151537247495933,7.22758820762123,0.323451791137327,3.23451791137327,1.44113494713922
"final",6,1,0.431794537865099,0.518153445438119,10.3999084731817,0.627236625216839,3.76341975130104,2.62502409230542
"footprint",5,1,0.209046494775005,0.261308118468756,3.21225849137071,0.472142902195955,2.36071451097978,1.49349909368481
