"lake1","lake2","weighted_mean","lake1_fish","lake2_fish","nsp","St","n.comm","q","M.beta","M.beta.prime","Ht.beta","qDT.beta","qDTM.beta"
"47aaron","annika",0.429024992782834,1,0,11,16,2,1,0.156887102080727,0.313774204161455,2,2,1.31377420416145
"47aaron","arrowhead",0.701798383284038,1,0,10,13,2,1,0.244264400878182,0.488528801756363,2,2,1.48852880175636
"47aaron","bap",0.519221578218294,1,0,10,11,2,1,0.139867360609089,0.279734721218178,2,2,1.27973472121818
"47aaron","bffl",0.803039989143674,1,0,10,11,2,1,0.292189844793616,0.584379689587232,2,2,1.58437968958723
"47aaron","west_bear",0.33677317835612,1,0,10,14,2,1,0.0743537517495446,0.148707503499089,2,2,1.14870750349909
"47aaron","big_sandy",0.219187652217211,1,1,10,16,2,1,0.0505486584991822,0.101097316998364,2,2,1.10109731699836
"47aaron","big_stough",0.414845073368972,1,1,9,14,2,1,0.152668100797497,0.305336201594994,2,2,1.30533620159499
"47aaron","black_joe",0.13876282404347,1,1,8,12,2,1,0.0159570412971044,0.0319140825942088,2,2,1.03191408259421
"47aaron","blackrock",0.279310541077619,1,1,9,13,2,1,0.0830423194643432,0.166084638928686,2,2,1.16608463892869
"47aaron","blue",0.107990897456363,1,1,9,15,2,1,0.0100549260001934,0.0201098520003867,2,2,1.02010985200039
"47aaron","bluebell",0.299598730029393,1,1,10,12,2,1,0.0818997204150418,0.163799440830084,2,2,1.16379944083008
"47aaron","boot",0.160384910422646,1,1,10,14,2,1,0.023408382593605,0.04681676518721,2,2,1.04681676518721
"47aaron","boulder",0.22351677755046,1,0,10,12,2,1,0.0763010606124477,0.152602121224895,2,2,1.1526021212249
"47aaron","btwn_wrbnt_bldr",0.424270188493904,1,0,12,17,2,1,0.116548864476922,0.233097728953844,2,2,1.23309772895384
"47aaron","canyon",0.303393864364302,1,0,9,10,2,1,0.0764442227342363,0.152888445468473,2,2,1.15288844546847
"47aaron","casey",0.178391267417178,1,0,11,13,2,1,0.0451977403720825,0.090395480744165,2,2,1.09039548074416
"47aaron","clear",0.109772566773114,1,1,9,15,2,1,0.0110903723903586,0.0221807447807172,2,2,1.02218074478072
"47aaron","cliff",0.1329980388221,1,0,11,14,2,1,0.0471669768075045,0.094333953615009,2,2,1.09433395361501
"47aaron","crater",0.366565060680065,1,0,10,13,2,1,0.130008218171603,0.260016436343205,2,2,1.26001643634321
"47aaron","cutthroat_stough",0.382282941140412,1,1,8,9,2,1,0.0903619604513412,0.180723920902682,2,2,1.18072392090268
"47aaron","cutthroat_newfork",0.110539269305822,1,1,9,15,2,1,0.0126575768707169,0.0253151537414338,2,2,1.02531515374143
"47aaron","darren",0.422305593562892,1,1,9,12,2,1,0.153454372832103,0.306908745664205,2,2,1.3069087456642
"47aaron","deep",0.269755884941234,1,1,9,14,2,1,0.0649580309351551,0.12991606187031,2,2,1.12991606187031
"47aaron","dipper",0.0766786325240458,1,1,8,14,2,1,0.0065678266439602,0.0131356532879204,2,2,1.01313565328792
"47aaron","dome",0.246525731010853,1,1,10,16,2,1,0.0622390090815403,0.124478018163081,2,2,1.12447801816308
"47aaron","east_bear",0.574584383920661,1,0,11,13,2,1,0.196208102446062,0.392416204892125,2,2,1.39241620489212
"47aaron","east_noname",0.287730871587204,1,1,9,14,2,1,0.0899064202774456,0.179812840554891,2,2,1.17981284055489
"47aaron","elephant_head",0.409012191345192,1,0,11,14,2,1,0.126009973301474,0.252019946602949,2,2,1.25201994660295
"47aaron","elk",0.226018616113082,1,1,12,17,2,1,0.0705906347962444,0.141181269592489,2,2,1.14118126959249
"47aaron","eyrie",0.726525280359289,1,0,9,11,2,1,0.259061393434999,0.518122786869998,2,2,1.51812278687
"47aaron","final",0.230874325854662,1,1,10,13,2,1,0.0530169796282124,0.106033959256425,2,2,1.10603395925642
"47aaron","footprint",0.112525858498617,1,1,9,12,2,1,0.0118109035446762,0.0236218070893523,2,2,1.02362180708935
"47aaron","fox",0.227139043609372,1,0,11,14,2,1,0.0372814582016074,0.0745629164032148,2,2,1.07456291640321
"47aaron","frozen1",0.329086349543732,1,0,11,13,2,1,0.0906560035181526,0.181312007036305,2,2,1.18131200703631
"47aaron","frozen2",0.427709903261602,1,0,10,14,2,1,0.111611826879618,0.223223653759236,2,2,1.22322365375924
"47aaron","heebeecheechee",0.202738370883521,1,1,12,18,2,1,0.0381231080321016,0.0762462160642032,2,2,1.0762462160642
