,response,predictor,K,AICc,Delta_AICc
1,FRic,intercept + fish1,4,249.405671277474,0
2,FRic,intercept + area_std + fish1,5,251.539301146693,2.13362986921899
3,FRic,intercept + fish1 + time_convert_std,5,251.638765957067,2.23309467959331
4,FRic,intercept + fish1 + temp_std,5,251.656378351951,2.25070707447711
5,FRic,intercept + area_std + fish1 + time_convert_std,6,253.819748624183,4.41407734670966
6,FRic,intercept + area_std + fish1 + temp_std,6,253.848372184081,4.44270090660703
7,FRic,intercept + fish1 + temp_std + time_convert_std,6,253.947987264731,4.54231598725721
8,FRic,intercept + area_std + fish1 + temp_std + time_convert_std,7,256.185952604027,6.78028132655322
9,FRic,intercept,3,257.282277963687,7.87660668621373
10,FRic,intercept + temp_std,4,257.56021126339,8.15453998591641
11,FRic,intercept + area_std,4,258.894365494438,9.48869421696497
12,FRic,intercept + area_std + temp_std,5,259.318197799069,9.91252652159557
13,FRic,intercept + time_convert_std,4,259.341791108384,9.93611983091029
14,FRic,intercept + temp_std + time_convert_std,5,259.38393159343,9.97826031595611
15,FRic,intercept + area_std + time_convert_std,5,260.992631421637,11.5869601441635
16,FRic,intercept + area_std + temp_std + time_convert_std,6,261.176893224084,11.7712219466108
17,FDis,intercept + fish1,4,220.235611656704,0
18,FDis,intercept + fish1 + time_convert_std,5,222.448776837932,2.21316518122813
19,FDis,intercept + fish1 + temp_std,5,222.478803391667,2.24319173496377
20,FDis,intercept + area_std + fish1,5,222.479138668221,2.24352701151716
21,FDis,intercept + fish1 + temp_std + time_convert_std,6,224.73714901847,4.50153736176611
22,FDis,intercept + area_std + fish1 + time_convert_std,6,224.746166221224,4.51055456452079
23,FDis,intercept + area_std + fish1 + temp_std,6,224.777449972457,4.54183831575344
24,FDis,intercept + area_std + fish1 + temp_std + time_convert_std,7,227.090494696023,6.85488303931947
25,FDis,intercept,3,231.799149273414,11.5635376167104
26,FDis,intercept + area_std,4,232.699401142071,12.4637894853675
27,FDis,intercept + temp_std,4,233.149834136355,12.9142224796513
28,FDis,intercept + time_convert_std,4,233.910400593746,13.6747889370429
29,FDis,intercept + area_std + temp_std,5,234.179796843098,13.9441851863942
30,FDis,intercept + area_std + time_convert_std,5,234.857373938327,14.6217622816236
31,FDis,intercept + temp_std + time_convert_std,5,235.195312771586,14.959701114882
32,FDis,intercept + area_std + temp_std + time_convert_std,6,236.276684053891,16.0410723971878
33,FDiv,intercept,3,216.070255349098,0
34,FDiv,intercept + fish1,4,217.80780613748,1.73755078838195
35,FDiv,intercept + time_convert_std,4,218.061479571333,1.99122422223439
36,FDiv,intercept + temp_std,4,218.168137619808,2.09788227070956
37,FDiv,intercept + area_std,4,218.246866887934,2.1766115388354
38,FDiv,intercept + area_std + fish1,5,219.883394447108,3.81313909801011
39,FDiv,intercept + fish1 + time_convert_std,5,219.942858841109,3.87260349201119
40,FDiv,intercept + fish1 + temp_std,5,220.051411501921,3.98115615282251
41,FDiv,intercept + temp_std + time_convert_std,5,220.171891582577,4.10163623347921
42,FDiv,intercept + area_std + time_convert_std,5,220.298989141889,4.22873379279096
43,FDiv,intercept + area_std + temp_std,5,220.391732723028,4.32147737393015
44,FDiv,intercept + area_std + fish1 + time_convert_std,6,222.107111987841,6.03685663874259
45,FDiv,intercept + area_std + fish1 + temp_std,6,222.186926887018,6.11667153791956
46,FDiv,intercept + fish1 + temp_std + time_convert_std,6,222.224770919532,6.15451557043349
47,FDiv,intercept + area_std + temp_std + time_convert_std,6,222.459236496707,6.38898114760852
48,FDiv,intercept + area_std + fish1 + temp_std + time_convert_std,7,224.456534146728,8.38627879762964
49,FEve,intercept + fish1 + temp_std,5,253.605262295083,0
50,FEve,intercept + area_std + fish1 + temp_std,6,255.393552939326,1.78829064424232
51,FEve,intercept + fish1 + temp_std + time_convert_std,6,255.85475672659,2.24949443150717
